source,target
segismuno toxicomano,Envidia Kotxina
Envidia Kotxina,Kaos Etíliko
Envidia Kotxina,Segismundo Toxicómano
Envidia Kotxina,Fe de Ratas
Envidia Kotxina,Konsumo Respeto
Envidia Kotxina,Disidencia
Envidia Kotxina,Manifa
Envidia Kotxina,Asto Pituak
Envidia Kotxina,Puagh
Envidia Kotxina,Elektroduendes
Envidia Kotxina,The Kagas
Envidia Kotxina,El Noi del Sucre
Envidia Kotxina,Ni por favor ni ostias
Envidia Kotxina,Los Muertos de Cristo
Envidia Kotxina,Malos Vicios
Envidia Kotxina,Arpaviejas
Envidia Kotxina,RADIOCRIMEN
Envidia Kotxina,Kaos Urbano
Envidia Kotxina,No Konforme
Envidia Kotxina,Piperrak
Envidia Kotxina,Chicharrica
segismuno toxicomano,Fe de Ratas
Fe de Ratas,Gérmenes
Fe de Ratas,Zirrosis
Fe de Ratas,Discordia
Fe de Ratas,Disidencia
Fe de Ratas,Malos Vicios
Fe de Ratas,A Palo Seko
Fe de Ratas,Ni por favor ni ostias
Fe de Ratas,Inadaptados
Fe de Ratas,Los Reconoces
Fe de Ratas,Silencio Absoluto
Fe de Ratas,Transfer
Fe de Ratas,No Konforme
Fe de Ratas,Matando Gratix
Fe de Ratas,Envidia Kotxina
Fe de Ratas,Manifa
Fe de Ratas,Sublevados
Fe de Ratas,Segismundo Toxicómano
Fe de Ratas,Zapatrus
Fe de Ratas,Síndrome de abstinencia
Fe de Ratas,Konsumo Respeto
segismuno toxicomano,Manifa
Manifa,RADIOCRIMEN
Manifa,Karne Cruda
Manifa,Ni por favor ni ostias
Manifa,Extracto de Lúpulo
Manifa,Zapatrus
Manifa,No Konforme
Manifa,Txulapos Muertos
Manifa,The Guilty Brigade
Manifa,Rat-Zinger
Manifa,Zirrosis
Manifa,Matando Gratix
Manifa,Josetxu Piperrak & The Riber Rock Band
Manifa,37 Hostias
Manifa,Chicharrica
Manifa,Subversión X
Manifa,Ignotus
Manifa,Putakaska
Manifa,The Kagas
Manifa,Puagh
Manifa,The Meas
segismuno toxicomano,Kaos Etíliko
Kaos Etíliko,Envidia Kotxina
Kaos Etíliko,Segismundo Toxicómano
Kaos Etíliko,Fe de Ratas
Kaos Etíliko,Piperrak
Kaos Etíliko,Kaotiko
Kaos Etíliko,Parabellum
Kaos Etíliko,Disidencia
Kaos Etíliko,Konsumo Respeto
Kaos Etíliko,Manifa
Kaos Etíliko,The Kagas
Kaos Etíliko,Manolo Kabezabolo
Kaos Etíliko,Cicatriz
Kaos Etíliko,M.C.D.
Kaos Etíliko,Malos Vicios
Kaos Etíliko,Zirrosis
Kaos Etíliko,RADIOCRIMEN
Kaos Etíliko,Ni por favor ni ostias
Kaos Etíliko,Kaos Urbano
Kaos Etíliko,Asto Pituak
Kaos Etíliko,Gatillazo
