source,target
Miley Cyrus,Hannah Montana
Miley Cyrus,Demi Lovato
Miley Cyrus,Kesha
Miley Cyrus,Britney Spears
Miley Cyrus,Avril Lavigne
Miley Cyrus,Christina Aguilera
Miley Cyrus,Jonas Brothers
Miley Cyrus,Bebe Rexha
Miley Cyrus,Meghan Trainor
Miley Cyrus,Kelly Clarkson
Miley Cyrus,Selena Gomez
Miley Cyrus,Katy Perry
Miley Cyrus,Jessie J
Miley Cyrus,Lady Gaga
Miley Cyrus,Iggy Azalea
Miley Cyrus,Nick Jonas
Miley Cyrus,Zara Larsson
Miley Cyrus,Fifth Harmony
Miley Cyrus,Rita Ora
Miley Cyrus,Jennifer Lopez
Natasha Bedingfield,Jordin Sparks
Natasha Bedingfield,Vanessa Carlton
Natasha Bedingfield,Leona Lewis
Natasha Bedingfield,Michelle Branch
Natasha Bedingfield,Ashlee Simpson
Natasha Bedingfield,Colbie Caillat
Natasha Bedingfield,JoJo
Natasha Bedingfield,Jessica Simpson
Natasha Bedingfield,Stacie Orrico
Natasha Bedingfield,Hilary Duff
Natasha Bedingfield,Natalie Imbruglia
Natasha Bedingfield,Shontelle
Natasha Bedingfield,Nelly Furtado
Natasha Bedingfield,Atomic Kitten
Natasha Bedingfield,Sara Bareilles
Natasha Bedingfield,Nicole Scherzinger
Natasha Bedingfield,Sugababes
Natasha Bedingfield,Jesse McCartney
Natasha Bedingfield,Mandy Moore
Natasha Bedingfield,Fergie
Coldplay,OneRepublic
Coldplay,Oasis
Coldplay,Maroon 5
Coldplay,Keane
Coldplay,U2
Coldplay,Imagine Dragons
Coldplay,Snow Patrol
Coldplay,The Chainsmokers
Coldplay,The Script
Coldplay,Calvin Harris
Coldplay,Adele
Coldplay,Avicii
Coldplay,Sia
Coldplay,Bruno Mars
Coldplay,Queen
Coldplay,Sam Smith
Coldplay,Twenty One Pilots
Coldplay,Ed Sheeran
Coldplay,The Killers
Coldplay,David Guetta
Avicii,Martin Garrix
Avicii,Swedish House Mafia
Avicii,AFROJACK
Avicii,Alesso
Avicii,Calvin Harris
Avicii,David Guetta
Avicii,Kygo
Avicii,Axwell /\ Ingrosso
Avicii,Hardwell
Avicii,Zedd
Avicii,Tiësto
Avicii,Nicky Romero
Avicii,Axwell
Avicii,Galantis
Avicii,Dimitri Vegas & Like Mike
Avicii,The Chainsmokers
Avicii,Steve Aoki
Avicii,Robin Schulz
Avicii,Flo Rida
Avicii,Major Lazer
Bon Jovi,Jon Bon Jovi
Bon Jovi,Def Leppard
Bon Jovi,Aerosmith
Bon Jovi,Poison
Bon Jovi,Scorpions
Bon Jovi,Whitesnake
Bon Jovi,Europe
Bon Jovi,Van Halen
Bon Jovi,Guns N' Roses
Bon Jovi,KISS
Bon Jovi,Bryan Adams
Bon Jovi,Skid Row
Bon Jovi,Journey
Bon Jovi,Mötley Crüe
Bon Jovi,Twisted Sister
Bon Jovi,Alice Cooper
Bon Jovi,Foreigner
Bon Jovi,Ozzy Osbourne
Bon Jovi,U2
Bon Jovi,The Police
Marvin Gaye,The Temptations
Marvin Gaye,Al Green
Marvin Gaye,The Supremes
Marvin Gaye,Smokey Robinson & The Miracles
Marvin Gaye,Smokey Robinson
Marvin Gaye,Four Tops
Marvin Gaye,The Isley Brothers
Marvin Gaye,Gladys Knight & The Pips
Marvin Gaye,Stevie Wonder
Marvin Gaye,Otis Redding
Marvin Gaye,Curtis Mayfield
Marvin Gaye,Commodores
Marvin Gaye,The O'Jays
Marvin Gaye,Bill Withers
Marvin Gaye,The Spinners
Marvin Gaye,Diana Ross
Marvin Gaye,Isaac Hayes
Marvin Gaye,Sam Cooke
Marvin Gaye,Aretha Franklin
Marvin Gaye,Sly & The Family Stone
Tammi Terrell,Kim Weston
Tammi Terrell,Jimmy Ruffin
Tammi Terrell,The Velvelettes
