Unnamed: 0,Índex general,Aliments i begudes no alcohòliques,Begudes alcohòliques i tabac,Vestit i calçat,Habitatge,Parament de casa,Medicina,Transports,Comunicacions,Esbarjo i cultura,Ensenyament,"Hotels, cafès i restaurants",Altres béns i serveis
02/2024,113807,128357,116028,99217,103426,112134,104269,113057,102467,107212,105304,116379,110595
01/2024,113404,128395,114299,101067,104745,112007,103942,111269,102546,106078,105259,115299,109916
12/2023,113308,127728,111679,113150,101376,112330,103748,111137,100624,108375,105224,115406,109424
11/2023,113280,127761,112505,114238,100846,112289,103655,112508,100745,105913,105178,115212,109393
10/2023,113676,127630,112555,109614,102309,112175,103527,114176,100839,107440,105012,115776,109220
09/2023,113348,126029,112487,100897,103028,111844,103483,115170,101969,108876,103831,115524,109093
08/2023,113149,125420,112135,98313,102618,111730,103347,113997,102120,112511,102494,115433,109051
07/2023,112544,125193,112073,98918,102815,111617,103306,110807,102085,111487,102482,115114,108805
06/2023,112354,124245,111976,109585,102744,112367,103073,110153,102282,108187,102473,114372,108906
05/2023,111719,123935,111894,110465,101886,112130,102858,109471,102553,105929,102466,113349,108136
04/2023,111773,123474,111839,107954,102225,111823,102722,111156,102600,106347,102461,112952,108105
03/2023,111111,123144,111575,100440,104138,111173,102424,110399,101963,105166,102458,111265,107638
02/2023,110703,121849,110847,97357,106287,110557,102051,110398,102079,104261,102426,110326,107064
01/2023,109668,119498,109653,98595,103156,110157,101743,111388,101988,102902,102378,109379,106349
12/2022,109899,119044,108019,111381,107680,110166,101507,106957,97585,105137,102193,109379,105395
11/2022,109734,117185,105017,111761,106893,109386,101493,112539,97529,103326,102320,108625,105027
10/2022,109866,116610,104582,108164,110790,108580,101303,112593,97574,103478,102218,108900,104634
09/2022,109498,114017,104399,99711,118604,107695,101332,110984,97713,103660,101549,108704,104141
08/2022,110265,113481,104243,96232,125137,107174,101198,112614,97866,105115,100869,108522,104047
07/2022,109986,112950,103967,96840,120761,106867,101225,116952,97908,104027,100858,108058,103653
06/2022,110267,112609,103589,107796,117695,106704,101093,119210,99898,102796,100844,107102,103691
05/2022,108262,110658,103146,108442,113807,105984,101073,113642,99964,101553,100835,105700,103159
04/2022,107375,109328,103127,105585,114653,105164,101074,110466,100092,102301,100817,104937,102859
03/2022,107566,105729,102787,97291,124213,103616,100852,116015,99600,100762,100819,103217,102390
02/2022,104403,104470,102227,93722,113252,102689,100575,108360,99575,101049,100836,102219,101901
01/2022,103567,103593,101308,95143,112574,102099,100500,105464,99666,100366,100828,101457,101293
12/2021,103965,102903,100795,109391,112736,101549,100499,103494,99444,101284,100820,101458,100887
11/2021,102738,101609,100874,111726,105820,101033,100297,104452,99523,100126,100800,100974,100699
10/2021,102425,101013,100820,106683,107963,100529,100182,103442,99482,100352,100713,100890,100263
09/2021,100575,99704,100070,95998,103846,99937,100193,101446,100209,100281,100298,100754,100061
08/2021,99743,99760,99553,91143,100308,99647,100126,100971,100102,100986,99705,100885,100005
