Unnamed: 0,Índex general,Aliments i begudes no alcohòliques,Begudes alcohòliques i tabac,Vestit i calçat,Habitatge,Parament de casa,Medicina,Transports,Comunicacions,Esbarjo i cultura,Ensenyament,"Hotels, cafès i restaurants",Altres béns i serveis
02/2024,113120,125130,116092,102983,104130,112740,105840,113598,102303,107750,105059,114466,110063
01/2024,112701,125371,113780,104945,105189,112427,105486,111882,102388,106558,105059,113179,109377
12/2023,112603,124757,111702,116827,102057,113042,105443,111752,100487,109238,105048,113061,108614
11/2023,112459,124807,113008,117560,101688,112884,105151,112822,100616,106243,104996,112945,108607
10/2023,112867,124500,112387,109990,102985,112767,105090,114607,100718,108757,104950,113859,108414
09/2023,112725,123325,112683,102737,103723,112280,105125,115600,101845,109668,103327,114046,108274
08/2023,112752,122524,112355,101755,103496,112327,105066,114562,102007,114075,101732,114285,108189
07/2023,112215,122411,112431,102266,103922,112008,105054,111196,101969,112996,101732,114072,108137
06/2023,111858,121768,111610,111920,103896,112689,104456,110512,102163,109205,101732,113342,108077
05/2023,111240,121533,112087,112824,103250,112329,104189,109776,102455,106908,101732,112269,107276
04/2023,111206,121155,111794,108688,103455,111961,104018,111437,102505,107523,101711,111562,107199
03/2023,110691,120666,111356,103017,105694,111533,103632,110486,101879,106006,101711,110051,106969
02/2023,110190,119496,110109,100595,107502,110560,103122,110483,102004,104484,101708,108943,106199
01/2023,109068,117173,108966,101876,104755,110221,102986,111072,101907,102927,101708,107705,105489
12/2022,109134,116670,107612,115327,108059,110068,102813,105855,97545,106009,101082,107374,104511
11/2022,109078,115255,104973,115202,107477,109211,103026,111637,97484,103480,101679,107031,104269
10/2022,109139,114932,104284,107880,110707,108428,102357,112050,97533,103837,101555,107598,104016
09/2022,109050,112526,103916,100998,117631,107488,102293,110663,97669,104017,101269,107869,103711
08/2022,109968,111871,103796,99586,123012,106943,102062,112211,97833,105743,101148,108420,103651
07/2022,109689,111141,103989,100164,119657,106519,101816,116802,97878,104439,101148,107881,103373
06/2022,109796,110708,103377,110854,116530,106504,101580,119448,99859,103150,101150,106645,103249
05/2022,107790,109023,103200,110562,113139,105876,101306,113785,99930,101727,101150,104809,102829
04/2022,107018,107997,102983,106959,113963,104975,101453,110547,100067,102705,101150,104080,102606
03/2022,107383,105338,102601,99791,121415,103474,101283,116360,99588,100585,101150,102548,102357
02/2022,104396,104321,101837,95710,112139,102529,100302,108498,99561,101175,101134,101835,101882
01/2022,103534,103555,101148,97184,111054,101957,100315,105479,99659,100218,101134,101213,101308
12/2021,103727,102870,100823,110564,110856,101448,100313,103448,99435,100904,101134,100960,100691
11/2021,102508,101564,100786,111534,105115,100614,100302,104473,99520,99741,101097,100646,100618
10/2021,102160,100806,100578,105849,106886,100380,100277,103472,99475,100207,100860,100546,100196
09/2021,100474,99640,99880,95434,103291,99746,100274,101308,100207,100347,100373,100586,100194
08/2021,99806,99778,99719,91143,100322,99643,100207,100845,100091,101074,99651,101008,100079
07/2021,99439,99539,99584,92178,98584,99646,100189,100708,100041,100608,99626,100654,100199
06/2021,100065,99746,99645,105645,98961,100160,100020,100128,100183,99940,99591,99834,100076
05/2021,99607,99760,99910,106840,97160,100156,99955,99122,100174,99302,99591,99377,99766
04/2021,99123,99216,99781,103775,96912,99974,99804,97940,100197,99437,99588,99416,99692
03/2021,98075,98973,99668,94114,94273,99613,99812,97840,100091,99538,99496,99183,99616
02/2021,97228,99015,99802,90440,91711,99134,99362,96059,100274,99716,99496,99033,99622
01/2021,97789,99095,99825,92484,95929,99487,99485,94654,100312,99185,99498,98758,99250
12/2020,97717,98230,99259,109362,92358,99574,99315,93334,99776,99681,99498,98709,99109
11/2020,97326,98311,99777,110433,91620,99503,99275,91895,99897,98158,99468,98715,98953
10/2020,97124,99142,99881,104617,90810,99410,99216,91920,100000,98740,99457,98883,98944
09/2020,96880,98124,99965,94360,91882,99102,99368,92140,103159,99121,104213,99603,98819
08/2020,96811,97817,99929,90062,91220,98925,99278,92601,103319,101617,103779,100052,98777
07/2020,96771,97835,99753,91183,90940,98919,99238,92593,103157,101225,103779,100000,98702
06/2020,97530,98333,99760,104660,90680,99519,98992,91519,104933,100176,103787,101183,98855
05/2020,97105,98869,100137,105796,89368,99660,99113,90069,104937,98484,103787,100828,98827
04/2020,97136,98872,100090,102707,89338,99344,98986,90816,105066,100242,103787,100436,98702
03/2020,96852,97407,99730,93077,90927,99077,98944,94109,105237,99304,103778,99750,98419
02/2020,97313,97390,99770,89499,92555,98827,99141,97385,103978,99665,103778,99250,98379
01/2020,97374,97091,99334,91518,93590,98808,99033,98219,104002,98449,103785,98235,97896
12/2019,98352,96799,98742,108291,93062,99284,99227,97796,104053,101016,103780,98412,97850
11/2019,98265,97018,99191,109159,93981,99344,99185,97133,104333,98426,103764,98525,97699
10/2019,98155,96766,99365,103553,94376,99300,99174,97245,104421,99113,103751,99568,97545
09/2019,97344,95751,99146,93388,93461,98793,99163,97475,104708,99972,103284,99737,97438
08/2019,97583,95782,99257,89091,93848,98602,99009,97444,104647,103941,102646,100480,97363
07/2019,97567,95651,99148,90161,94551,98358,99425,97521,104463,102730,102646,100214,97124
06/2019,98094,96112,99276,103769,94001,99049,99254,97182,104312,100775,102646,99705,97390
05/2019,98058,95577,99347,104828,94425,98843,99221,98554,104572,98845,102589,99248,97014
04/2019,97834,95200,99307,101670,94751,98564,99268,98102,104415,100563,102589,98387,97071
03/2019,96839,95087,99261,92074,95152,98276,99032,96767,104528,99166,102589,97296,96826
02/2019,96499,95441,98946,88475,95716,98284,98829,95708,104775,98604,102589,96702,96759
01/2019,96230,95061,98561,90559,96535,98023,99064,94324,104005,97715,102589,96098,96294
12/2018,97467,94839,98195,107254,97195,98310,98861,94466,103462,100231,102496,96319,96092
11/2018,97754,94902,98558,108074,97414,98038,98867,97292,103630,98246,102497,96287,95873
10/2018,97905,95471,98622,102498,97618,97889,98247,98695,103574,98856,102446,97121,95844
09/2018,97042,94295,98506,92347,97129,97516,98232,98034,104345,99616,101912,97619,95592
08/2018,96978,94126,98527,88265,96197,97328,98202,97618,104224,103419,101470,98156,95638
07/2018,96822,94017,98610,89404,95722,97286,98500,97425,104305,102657,101464,97976,95332
06/2018,97374,94728,98608,102875,94761,97959,98418,97556,104364,100649,101460,97395,95473
05/2018,97116,94479,98480,103899,94275,98028,98331,97229,104492,99732,101460,96906,95397
04/2018,96204,94024,98161,100642,92849,97914,97752,95420,104428,99330,101460,96232,95190
03/2018,95540,93884,97961,91208,93023,97474,97766,94395,103183,100820,101460,95703,95159
02/2018,95428,93794,97582,87703,94557,97320,97765,94448,103404,100341,101437,95074,94990
01/2018,95240,93795,97223,89736,94244,97186,97958,95033,101494,98870,101434,94301,94485
12/2017,96124,93349,96884,106086,94316,97522,97910,94216,101287,100456,101441,94466,94554
11/2017,95950,93208,96647,106996,94231,97454,97582,93957,101733,98873,101427,94554,94478
10/2017,95604,93521,96597,101414,93500,97452,97570,93134,101688,99004,101459,95642,94412
09/2017,94881,92505,96522,91352,92442,97125,97570,93297,101850,100704,100988,96090,94438
08/2017,94890,92246,96602,87424,92342,96824,97514,92603,101764,104357,100932,96800,94491
07/2017,94646,92355,96511,88614,92279,96936,97721,91620,101733,103148,100932,96163,94316
06/2017,95077,92268,96367,102017,92589,97452,97688,91533,102223,99914,100932,95420,94406
05/2017,94973,92216,96347,102956,92412,97549,97706,92014,102223,98521,100932,94914,94260
04/2017,95038,91877,96193,99772,92239,97416,97755,93184,101691,101199,100932,94564,94199
03/2017,94146,91924,96395,90393,92234,97265,97357,92627,101241,99486,100927,93708,94008
02/2017,94153,92273,96376,87151,93548,96931,96976,92958,101161,99391,100927,93050,93875
01/2017,94428,92112,96221,89225,95948,97023,96512,92706,100716,99033,100921,92636,93603
12/2016,94939,91395,95513,105450,93581,97754,96305,91765,101139,101304,100921,92852,93404
11/2016,94181,90833,95101,106595,92590,97824,96303,90248,101152,96986,100901,92695,93341
10/2016,93861,90795,95057,101048,92056,97581,96302,90536,101185,97190,100892,93257,93311
09/2016,92897,90633,94985,90537,90474,97179,96139,89550,101161,98787,100222,93571,93143
08/2016,93031,91493,94834,86664,90076,96720,96332,89116,101138,103109,99877,94019,93091
