Any;IPC Catalunya;IPC Espanya;;
abr-24;114,851;115,472;;
mar-24;114,141;114,674;;
feb-24;113,12;113,807;;
ene-24;112,701;113,404;;
dic-23;112,603;113,308;;
nov-23;112,459;113,28;;
oct-23;112,867;113,676;;
sep-23;112,725;113,348;;
ago-23;112,752;113,149;;
jul-23;112,215;112,544;;
jun-23;111,858;112,354;;
may-23;111,24;111,719;;
abr-23;111,206;111,773;;
mar-23;110,691;111,111;;
feb-23;110,19;110,703;;
ene-23;109,068;109,668;;
dic-22;109,134;109,899;;
nov-22;109,078;109,734;;
oct-22;109,139;109,866;;
sep-22;109,05;109,498;;
ago-22;109,968;110,265;;
jul-22;109,689;109,986;;
jun-22;109,796;110,267;;
may-22;107,79;108,262;;
abr-22;107,018;107,375;;
mar-22;107,383;107,566;;
feb-22;104,396;104,403;;
ene-22;103,534;103,567;;
dic-21;103,727;103,965;;
nov-21;102,508;102,738;;
oct-21;102,16;102,425;;
sep-21;100,474;100,575;;
ago-21;99,806;99,743;;
jul-21;99,439;99,292;;
jun-21;100,065;100,046;;
may-21;99,607;99,572;;
abr-21;99,123;99,105;;
mar-21;98,075;97,949;;
feb-21;97,228;97,008;;
ene-21;97,789;97,583;;
dic-20;97,717;97,574;;
nov-20;97,326;97,367;;
oct-20;97,124;97,208;;
sep-20;96,88;96,7;;
ago-20;96,811;96,555;;
jul-20;96,771;96,511;;
jun-20;97,53;97,385;;
may-20;97,105;96,938;;
abr-20;97,136;96,944;;
mar-20;96,852;96,652;;
feb-20;97,313;97,024;;
ene-20;97,374;97,139;;
dic-19;98,352;98,096;;
nov-19;98,265;98,167;;
oct-19;98,155;98,001;;
sep-19;97,344;97,059;;
ago-19;97,583;97,059;;
jul-19;97,567;97,113;;
jun-19;98,094;97,719;;
may-19;98,058;97,834;;
abr-19;97,834;97,644;;
mar-19;96,839;96,669;;
feb-19;96,499;96,32;;
ene-19;96,23;96,085;;
dic-18;97,467;97,329;;
