Any,Salari,Index
01/2002,,"66,500"
01/2003,,"69,256"
01/2004,"18.310,11","71,192"
01/2005,"18.676,92","73,758"
01/2006,"19.680,88","77,142"
01/2007,"20.390,35","79,000"
01/2008,"21.883,42","82,466"
01/2009,"22.511,47","83,370"
01/2010,"22.790,20","84,504"
01/2011,"22.899,35","87,283"
01/2012,"22.726,44","89,236"
01/2013,"22.697,86","92,216"
01/2014,"22.858,17","92,484"
01/2015,"23.106,30","91,617"
01/2016,"23.156,34","91,584"
01/2017,"23.646,50","94,428"
01/2018,"24.009,12","95,240"
01/2019,"24.395,98","96,230"
01/2020,"24.463,2","97,374"
01/2021,"25.034,4","97,789"
01/2022,"25.540,44","103,534"
01/2023,"25.540,8","109,068"
01/2024,,"112,701"
02/2002,,"66,547"
02/2003,,"69,422"
02/2004,"18.310,11","71,197"
02/2005,"18.676,92","73,897"
02/2006,"19.680,88","77,071"
02/2007,"20.390,35","79,004"
02/2008,"21.883,42","82,516"
02/2009,"22.511,47","83,379"
02/2010,"22.790,20","84,340"
02/2011,"22.899,35","87,392"
02/2012,"22.726,44","89,349"
02/2013,"22.697,86","92,301"
02/2014,"22.858,17","92,509"
02/2015,"23.106,30","91,786"
02/2016,"23.156,34","91,320"
02/2017,"23.646,50","94,153"
02/2018,"24.009,12","95,428"
02/2019,"24.395,98","96,499"
02/2020,"24.463,2","97,313"
02/2021,"25.896,82","97,228"
02/2022,"25.540,44","104,396"
02/2023,"25.540,8","110,190"
02/2024,,"113,120"
03/2002,,"67,094"
03/2003,,"69,907"
03/2004,"18.310,11","71,667"
03/2005,"18.676,92","74,504"
03/2006,"19.680,88","77,515"
03/2007,"20.390,35","79,605"
03/2008,"21.883,42","83,203"
03/2009,"22.511,47","83,503"
03/2010,"22.790,20","84,962"
03/2011,"22.899,35","87,959"
03/2012,"22.726,44","89,925"
03/2013,"22.697,86","92,589"
03/2014,"22.858,17","92,658"
03/2015,"23.106,30","92,392"
03/2016,"23.156,34","91,841"
03/2017,"23.646,50","94,146"
03/2018,"24.009,12","95,540"
03/2019,"24.395,98","96,839"
03/2020,"24.463,2","96,852"
03/2021,"25.034,4","98,075"
03/2022,"25.540,44","107,383"
03/2023,"25.540,8","110,691"
04/2002,,"67,983"
04/2003,,"70,490"
04/2004,"18.310,11","72,665"
04/2005,"18.676,92","75,575"
04/2006,"19.680,88","78,590"
04/2007,"20.390,35","80,690"
04/2008,"21.883,42","84,020"
04/2009,"22.511,47","84,364"
04/2010,"22.790,20","85,810"
04/2011,"22.899,35","89,062"
04/2012,"22.726,44","91,220"
04/2013,"22.697,86","92,883"
04/2014,"22.858,17","93,509"
04/2015,"23.106,30","93,230"
04/2016,"23.156,34","92,484"
04/2017,"23.646,50","95,038"
04/2018,"24.009,12","96,204"
04/2019,"24.395,98","97,834"
04/2020,"24.463,2","97,136"
04/2021,"25.034,4","99,123"
04/2022,"25.540,44","107,018"
04/2023,"25.540,8","111,206"
05/2002,,"68,221"
05/2003,,"70,368"
05/2004,"18.310,11","73,092"
05/2005,"18.676,92","75,759"
05/2006,"19.680,88","78,898"
05/2007,"20.390,35","80,958"
05/2008,"21.883,42","84,629"
05/2009,"22.511,47","84,369"
05/2010,"22.790,20","86,036"
05/2011,"22.899,35","89,076"
05/2012,"22.726,44","91,090"
05/2013,"22.697,86","93,126"
05/2014,"22.858,17","93,571"
05/2015,"23.106,30","93,691"
05/2016,"23.156,34","92,996"
05/2017,"23.646,50","94,973"
05/2018,"24.009,12","97,116"
05/2019,"24.395,98","98,058"
05/2020,"24.463,2","97,105"
05/2021,"25.034,4","99,607"
05/2022,"25.540,44","107,790"
05/2023,"25.540,8","111,240"
06/2002,,"68,316"
06/2003,,"70,463"
06/2004,"18.310,11","73,243"
06/2005,"18.676,92","75,975"
06/2006,"19.680,88","79,090"
06/2007,"20.390,35","81,193"
06/2008,"21.883,42","85,187"
06/2009,"22.511,47","84,762"
06/2010,"22.790,20","86,205"
06/2011,"22.899,35","89,015"
06/2012,"22.726,44","90,940"
06/2013,"22.697,86","93,271"
06/2014,"22.858,17","93,634"
06/2015,"23.106,30","93,950"
06/2016,"23.156,34","93,453"
06/2017,"23.646,50","95,077"
06/2018,"24.009,12","97,374"
06/2019,"24.395,98","98,094"
06/2020,"24.463,2","97,530"
06/2021,"25.034,4","100,065"
06/2022,"25.540,44","109,796"
06/2023,"25.540,8","111,858"
07/2002,,"67,855"
07/2003,,"70,062"
07/2004,"18.310,11","72,750"
07/2005,"18.676,92","75,591"
07/2006,"19.680,88","78,687"
07/2007,"20.390,35","80,660"
07/2008,"21.883,42","84,811"
07/2009,"22.511,47","84,048"
07/2010,"22.790,20","85,905"
07/2011,"22.899,35","88,684"
07/2012,"22.726,44","90,980"
07/2013,"22.697,86","92,848"
07/2014,"22.858,17","92,882"
07/2015,"23.106,30","93,214"
07/2016,"23.156,34","92,884"
07/2017,"23.646,50","94,646"
07/2018,"24.009,12","96,822"
07/2019,"24.395,98","97,567"
07/2020,"24.463,2","96,771"
07/2021,"25.034,4","99,439"
07/2022,"25.540,44","109,689"
07/2023,"25.540,8","112,215"
08/2002,,"68,068"
08/2003,,"70,455"
08/2004,"18.310,11","73,169"
08/2005,"18.676,92","75,926"
08/2006,"19.680,88","78,863"
08/2007,"20.390,35","80,724"
08/2008,"21.883,42","84,637"
08/2009,"22.511,47","84,348"
08/2010,"22.790,20","86,128"
08/2011,"22.899,35","88,742"
08/2012,"22.726,44","91,492"
08/2013,"22.697,86","93,089"
08/2014,"22.858,17","93,035"
08/2015,"23.106,30","92,932"
08/2016,"23.156,34","93,031"
08/2017,"23.646,50","94,890"
08/2018,"24.009,12","96,978"
08/2019,"24.395,98","97,583"
08/2020,"24.463,2","96,811"
08/2021,"25.034,4","99,806"
08/2022,"25.540,44","109,968"
08/2023,"25.540,8","112,752"
09/2002,,"68,304"
09/2003,,"70,626"
09/2004,"18.310,11","73,230"
09/2005,"18.676,92","76,362"
09/2006,"19.680,88","78,667"
09/2007,"20.390,35","80,910"
09/2008,"21.883,42","84,552"
09/2009,"22.511,47","84,129"
09/2010,"22.790,20","86,136"
09/2011,"22.899,35","88,900"
09/2012,"22.726,44","92,370"
09/2013,"22.697,86","92,853"
09/2014,"22.858,17","92,980"
09/2015,"23.106,30","92,524"
09/2016,"23.156,34","92,897"
09/2017,"23.646,50","94,881"
09/2018,"24.009,12","97,042"
09/2019,"24.395,98","97,344"
09/2020,"24.463,2","96,880"
09/2021,"25.034,4","100,474"
09/2022,"25.540,44","109,050"
09/2023,"25.540,8","112,725"
10/2002,,"69,006"
10/2003,,"71,162"
10/2004,"18.310,11","73,974"
10/2005,"18.676,92","76,973"
10/2006,"19.680,88","78,944"
10/2007,"20.390,35","81,918"
10/2008,"21.883,42","84,887"
10/2009,"22.511,47","84,675"
10/2010,"22.790,20","86,850"
10/2011,"22.899,35","89,535"
10/2012,"22.726,44","93,275"
10/2013,"22.697,86","93,190"
10/2014,"22.858,17","93,308"
10/2015,"23.106,30","93,020"
10/2016,"23.156,34","93,861"
10/2017,"23.646,50","95,604"
10/2018,"24.009,12","97,905"
10/2019,"24.395,98","98,155"
10/2020,"24.463,2","97,124"
10/2021,"25.034,4","102,160"
10/2022,"25.540,44","109,139"
10/2023,"25.540,8","112,867"
11/2002,,"69,077"
11/2003,,"71,373"
11/2004,"18.310,11","74,174"
11/2005,"18.676,92","77,116"
11/2006,"19.680,88","79,180"
11/2007,"20.390,35","82,466"
11/2008,"21.883,42","84,569"
11/2009,"22.511,47","85,157"
11/2010,"22.790,20","87,256"
11/2011,"22.899,35","89,853"
11/2012,"22.726,44","93,081"
11/2013,"22.697,86","93,319"
11/2014,"22.858,17","93,262"
11/2015,"23.106,30","93,281"
11/2016,"23.156,34","94,181"
11/2017,"23.646,50","95,950"
11/2018,"24.009,12","97,754"
11/2019,"24.395,98","98,265"
11/2020,"24.463,2","97,326"
11/2021,"25.034,4","102,508"
11/2022,"25.540,44","109,078"
11/2023,"25.540,8","112,459"
12/2002,,"69,458"
12/2003,,"71,606"
12/2004,"18.310,11","74,191"
12/2005,"18.676,92","77,371"
12/2006,"19.680,88","79,507"
12/2007,"20.390,35","82,960"
12/2008,"21.883,42","84,280"
12/2009,"22.511,47","85,271"
12/2010,"22.790,20","87,848"
12/2011,"22.899,35","90,064"
12/2012,"22.726,44","93,323"
12/2013,"22.697,86","93,537"
12/2014,"22.858,17","92,896"
12/2015,"23.106,30","93,156"
12/2016,"23.156,34","94,939"
12/2017,"23.646,50","96,124"
12/2018,"24.009,12","97,467"
12/2019,"24.395,98","98,352"
12/2020,"24.463,2","97,717"
12/2021,"25.034,4","103,727"
12/2022,"25.540,44","109,134"
12/2023,"25.540,8","112,603"
