Any;Valor;Sector;;;;
abr-24;129,317;Aliments i begudes no alcohòliques;;;;
mar-24;128,439;Aliments i begudes no alcohòliques;;;;
feb-24;128,357;Aliments i begudes no alcohòliques;;;;
ene-24;128,395;Aliments i begudes no alcohòliques;;;;
dic-23;127,728;Aliments i begudes no alcohòliques;;;;
nov-23;127,761;Aliments i begudes no alcohòliques;;;;
oct-23;127,63;Aliments i begudes no alcohòliques;;;;
sep-23;126,029;Aliments i begudes no alcohòliques;;;;
ago-23;125,42;Aliments i begudes no alcohòliques;;;;
jul-23;125,193;Aliments i begudes no alcohòliques;;;;
jun-23;124,245;Aliments i begudes no alcohòliques;;;;
may-23;123,935;Aliments i begudes no alcohòliques;;;;
abr-23;123,474;Aliments i begudes no alcohòliques;;;;
mar-23;123,144;Aliments i begudes no alcohòliques;;;;
feb-23;121,849;Aliments i begudes no alcohòliques;;;;
ene-23;119,498;Aliments i begudes no alcohòliques;;;;
dic-22;119,044;Aliments i begudes no alcohòliques;;;;
nov-22;117,185;Aliments i begudes no alcohòliques;;;;
oct-22;116,61;Aliments i begudes no alcohòliques;;;;
sep-22;114,017;Aliments i begudes no alcohòliques;;;;
ago-22;113,481;Aliments i begudes no alcohòliques;;;;
jul-22;112,95;Aliments i begudes no alcohòliques;;;;
jun-22;112,609;Aliments i begudes no alcohòliques;;;;
may-22;110,658;Aliments i begudes no alcohòliques;;;;
abr-22;109,328;Aliments i begudes no alcohòliques;;;;
mar-22;105,729;Aliments i begudes no alcohòliques;;;;
feb-22;104,47;Aliments i begudes no alcohòliques;;;;
ene-22;103,593;Aliments i begudes no alcohòliques;;;;
dic-21;102,903;Aliments i begudes no alcohòliques;;;;
nov-21;101,609;Aliments i begudes no alcohòliques;;;;
oct-21;101,013;Aliments i begudes no alcohòliques;;;;
sep-21;99,704;Aliments i begudes no alcohòliques;;;;
ago-21;99,76;Aliments i begudes no alcohòliques;;;;
jul-21;99,493;Aliments i begudes no alcohòliques;;;;
jun-21;99,699;Aliments i begudes no alcohòliques;;;;
may-21;99,706;Aliments i begudes no alcohòliques;;;;
abr-21;99,281;Aliments i begudes no alcohòliques;;;;
mar-21;98,986;Aliments i begudes no alcohòliques;;;;
feb-21;98,953;Aliments i begudes no alcohòliques;;;;
ene-21;98,891;Aliments i begudes no alcohòliques;;;;
dic-20;98,049;Aliments i begudes no alcohòliques;;;;
nov-20;98,407;Aliments i begudes no alcohòliques;;;;
oct-20;99,329;Aliments i begudes no alcohòliques;;;;
sep-20;97,983;Aliments i begudes no alcohòliques;;;;
ago-20;97,905;Aliments i begudes no alcohòliques;;;;
jul-20;97,815;Aliments i begudes no alcohòliques;;;;
jun-20;98,636;Aliments i begudes no alcohòliques;;;;
may-20;98,943;Aliments i begudes no alcohòliques;;;;
abr-20;98,955;Aliments i begudes no alcohòliques;;;;
mar-20;97,575;Aliments i begudes no alcohòliques;;;;
feb-20;97,436;Aliments i begudes no alcohòliques;;;;
ene-20;97,208;Aliments i begudes no alcohòliques;;;;
dic-19;96,946;Aliments i begudes no alcohòliques;;;;
nov-19;97,108;Aliments i begudes no alcohòliques;;;;
oct-19;97,141;Aliments i begudes no alcohòliques;;;;
sep-19;95,716;Aliments i begudes no alcohòliques;;;;
ago-19;95,801;Aliments i begudes no alcohòliques;;;;
jul-19;95,705;Aliments i begudes no alcohòliques;;;;
jun-19;95,96;Aliments i begudes no alcohòliques;;;;
may-19;95,586;Aliments i begudes no alcohòliques;;;;
abr-19;95,171;Aliments i begudes no alcohòliques;;;;
mar-19;95,19;Aliments i begudes no alcohòliques;;;;
feb-19;95,534;Aliments i begudes no alcohòliques;;;;
ene-19;95,274;Aliments i begudes no alcohòliques;;;;
dic-18;95,359;Aliments i begudes no alcohòliques;;;;
nov-18;95,513;Aliments i begudes no alcohòliques;;;;
oct-18;96,024;Aliments i begudes no alcohòliques;;;;
sep-18;94,864;Aliments i begudes no alcohòliques;;;;
ago-18;94,87;Aliments i begudes no alcohòliques;;;;
jul-18;94,833;Aliments i begudes no alcohòliques;;;;
jun-18;95,499;Aliments i begudes no alcohòliques;;;;
may-18;95,069;Aliments i begudes no alcohòliques;;;;
abr-18;94,41;Aliments i begudes no alcohòliques;;;;
mar-18;94,305;Aliments i begudes no alcohòliques;;;;
feb-18;94,223;Aliments i begudes no alcohòliques;;;;
ene-18;94,379;Aliments i begudes no alcohòliques;;;;
dic-17;94,095;Aliments i begudes no alcohòliques;;;;
nov-17;94,151;Aliments i begudes no alcohòliques;;;;
oct-17;94,382;Aliments i begudes no alcohòliques;;;;
sep-17;93,254;Aliments i begudes no alcohòliques;;;;
ago-17;93,007;Aliments i begudes no alcohòliques;;;;
jul-17;93,134;Aliments i begudes no alcohòliques;;;;
jun-17;93,169;Aliments i begudes no alcohòliques;;;;
may-17;93,21;Aliments i begudes no alcohòliques;;;;
abr-17;92,936;Aliments i begudes no alcohòliques;;;;
mar-17;93,015;Aliments i begudes no alcohòliques;;;;
feb-17;93,337;Aliments i begudes no alcohòliques;;;;
ene-17;93,194;Aliments i begudes no alcohòliques;;;;
dic-16;92,525;Aliments i begudes no alcohòliques;;;;
nov-16;92,107;Aliments i begudes no alcohòliques;;;;
oct-16;92,22;Aliments i begudes no alcohòliques;;;;
sep-16;92,136;Aliments i begudes no alcohòliques;;;;
ago-16;92,961;Aliments i begudes no alcohòliques;;;;
jul-16;92,999;Aliments i begudes no alcohòliques;;;;
jun-16;92,41;Aliments i begudes no alcohòliques;;;;
may-16;92,169;Aliments i begudes no alcohòliques;;;;
abr-16;91,906;Aliments i begudes no alcohòliques;;;;
mar-16;91,751;Aliments i begudes no alcohòliques;;;;
feb-16;91,79;Aliments i begudes no alcohòliques;;;;
ene-16;92,293;Aliments i begudes no alcohòliques;;;;
dic-15;91,788;Aliments i begudes no alcohòliques;;;;
nov-15;91,76;Aliments i begudes no alcohòliques;;;;
oct-15;91,934;Aliments i begudes no alcohòliques;;;;
sep-15;91,408;Aliments i begudes no alcohòliques;;;;
ago-15;91,343;Aliments i begudes no alcohòliques;;;;
jul-15;90,7;Aliments i begudes no alcohòliques;;;;
jun-15;91,061;Aliments i begudes no alcohòliques;;;;
may-15;90,601;Aliments i begudes no alcohòliques;;;;
abr-15;90,135;Aliments i begudes no alcohòliques;;;;
mar-15;90,203;Aliments i begudes no alcohòliques;;;;
feb-15;90,641;Aliments i begudes no alcohòliques;;;;
ene-15;90,399;Aliments i begudes no alcohòliques;;;;
dic-14;90,155;Aliments i begudes no alcohòliques;;;;
nov-14;90,202;Aliments i begudes no alcohòliques;;;;
oct-14;90,247;Aliments i begudes no alcohòliques;;;;
sep-14;89,767;Aliments i begudes no alcohòliques;;;;
ago-14;89,678;Aliments i begudes no alcohòliques;;;;
jul-14;89,455;Aliments i begudes no alcohòliques;;;;
jun-14;89,435;Aliments i begudes no alcohòliques;;;;
may-14;89,472;Aliments i begudes no alcohòliques;;;;
abr-14;89,773;Aliments i begudes no alcohòliques;;;;
mar-14;89,865;Aliments i begudes no alcohòliques;;;;
feb-14;90,466;Aliments i begudes no alcohòliques;;;;
ene-14;90,793;Aliments i begudes no alcohòliques;;;;
dic-13;90,455;Aliments i begudes no alcohòliques;;;;
nov-13;90,042;Aliments i begudes no alcohòliques;;;;
oct-13;89,92;Aliments i begudes no alcohòliques;;;;
sep-13;90,461;Aliments i begudes no alcohòliques;;;;
ago-13;91,686;Aliments i begudes no alcohòliques;;;;
jul-13;91,276;Aliments i begudes no alcohòliques;;;;
jun-13;90,771;Aliments i begudes no alcohòliques;;;;
may-13;90,206;Aliments i begudes no alcohòliques;;;;
abr-13;89,657;Aliments i begudes no alcohòliques;;;;
mar-13;89,389;Aliments i begudes no alcohòliques;;;;
feb-13;89,494;Aliments i begudes no alcohòliques;;;;
ene-13;89,728;Aliments i begudes no alcohòliques;;;;
dic-12;89,386;Aliments i begudes no alcohòliques;;;;
nov-12;88,95;Aliments i begudes no alcohòliques;;;;
oct-12;88,511;Aliments i begudes no alcohòliques;;;;
sep-12;88,239;Aliments i begudes no alcohòliques;;;;
ago-12;87,808;Aliments i begudes no alcohòliques;;;;
jul-12;87,436;Aliments i begudes no alcohòliques;;;;
jun-12;87,574;Aliments i begudes no alcohòliques;;;;
may-12;87,223;Aliments i begudes no alcohòliques;;;;
abr-12;87,377;Aliments i begudes no alcohòliques;;;;
mar-12;87,164;Aliments i begudes no alcohòliques;;;;
feb-12;87,077;Aliments i begudes no alcohòliques;;;;
ene-12;86,978;Aliments i begudes no alcohòliques;;;;
dic-11;86,759;Aliments i begudes no alcohòliques;;;;
nov-11;86,484;Aliments i begudes no alcohòliques;;;;
oct-11;86,321;Aliments i begudes no alcohòliques;;;;
sep-11;86,259;Aliments i begudes no alcohòliques;;;;
ago-11;86,073;Aliments i begudes no alcohòliques;;;;
jul-11;85,886;Aliments i begudes no alcohòliques;;;;
jun-11;85,726;Aliments i begudes no alcohòliques;;;;
may-11;85,66;Aliments i begudes no alcohòliques;;;;
abr-11;85,433;Aliments i begudes no alcohòliques;;;;
mar-11;85,192;Aliments i begudes no alcohòliques;;;;
feb-11;84,909;Aliments i begudes no alcohòliques;;;;
ene-11;85,058;Aliments i begudes no alcohòliques;;;;
dic-10;84,951;Aliments i begudes no alcohòliques;;;;
nov-10;84,642;Aliments i begudes no alcohòliques;;;;
oct-10;84,466;Aliments i begudes no alcohòliques;;;;
sep-10;84,345;Aliments i begudes no alcohòliques;;;;
ago-10;84,259;Aliments i begudes no alcohòliques;;;;
jul-10;83,895;Aliments i begudes no alcohòliques;;;;
jun-10;83,73;Aliments i begudes no alcohòliques;;;;
may-10;83,553;Aliments i begudes no alcohòliques;;;;
abr-10;83,575;Aliments i begudes no alcohòliques;;;;
mar-10;83,674;Aliments i begudes no alcohòliques;;;;
feb-10;83,655;Aliments i begudes no alcohòliques;;;;
ene-10;84,305;Aliments i begudes no alcohòliques;;;;
dic-09;84,351;Aliments i begudes no alcohòliques;;;;
nov-09;84,184;Aliments i begudes no alcohòliques;;;;
oct-09;84,15;Aliments i begudes no alcohòliques;;;;
sep-09;84,278;Aliments i begudes no alcohòliques;;;;
ago-09;84,318;Aliments i begudes no alcohòliques;;;;
jul-09;84,18;Aliments i begudes no alcohòliques;;;;
jun-09;84,359;Aliments i begudes no alcohòliques;;;;
may-09;84,705;Aliments i begudes no alcohòliques;;;;
abr-09;85,161;Aliments i begudes no alcohòliques;;;;
mar-09;85,438;Aliments i begudes no alcohòliques;;;;
feb-09;86,017;Aliments i begudes no alcohòliques;;;;
ene-09;86,414;Aliments i begudes no alcohòliques;;;;
dic-08;86,405;Aliments i begudes no alcohòliques;;;;
nov-08;86,268;Aliments i begudes no alcohòliques;;;;
oct-08;86,239;Aliments i begudes no alcohòliques;;;;
sep-08;86,341;Aliments i begudes no alcohòliques;;;;
ago-08;86,132;Aliments i begudes no alcohòliques;;;;
jul-08;86,01;Aliments i begudes no alcohòliques;;;;
jun-08;85,925;Aliments i begudes no alcohòliques;;;;
may-08;85,371;Aliments i begudes no alcohòliques;;;;
abr-08;85,204;Aliments i begudes no alcohòliques;;;;
mar-08;84,932;Aliments i begudes no alcohòliques;;;;
feb-08;84,709;Aliments i begudes no alcohòliques;;;;
ene-08;84,83;Aliments i begudes no alcohòliques;;;;
dic-07;84,388;Aliments i begudes no alcohòliques;;;;
nov-07;83,672;Aliments i begudes no alcohòliques;;;;
oct-07;82,929;Aliments i begudes no alcohòliques;;;;
sep-07;81,349;Aliments i begudes no alcohòliques;;;;
ago-07;80,618;Aliments i begudes no alcohòliques;;;;
jul-07;80,361;Aliments i begudes no alcohòliques;;;;
jun-07;80,153;Aliments i begudes no alcohòliques;;;;
may-07;80,008;Aliments i begudes no alcohòliques;;;;
abr-07;79,91;Aliments i begudes no alcohòliques;;;;
mar-07;79,456;Aliments i begudes no alcohòliques;;;;
feb-07;79,146;Aliments i begudes no alcohòliques;;;;
ene-07;79,275;Aliments i begudes no alcohòliques;;;;
dic-06;79,148;Aliments i begudes no alcohòliques;;;;
nov-06;78,73;Aliments i begudes no alcohòliques;;;;
oct-06;78,596;Aliments i begudes no alcohòliques;;;;
sep-06;78,642;Aliments i begudes no alcohòliques;;;;
ago-06;78,423;Aliments i begudes no alcohòliques;;;;
jul-06;78,298;Aliments i begudes no alcohòliques;;;;
jun-06;77,98;Aliments i begudes no alcohòliques;;;;
may-06;77,565;Aliments i begudes no alcohòliques;;;;
abr-06;77,398;Aliments i begudes no alcohòliques;;;;
mar-06;77,25;Aliments i begudes no alcohòliques;;;;
feb-06;77,218;Aliments i begudes no alcohòliques;;;;
ene-06;77,434;Aliments i begudes no alcohòliques;;;;
dic-05;76,712;Aliments i begudes no alcohòliques;;;;
nov-05;75,749;Aliments i begudes no alcohòliques;;;;
oct-05;75,295;Aliments i begudes no alcohòliques;;;;
sep-05;75,159;Aliments i begudes no alcohòliques;;;;
ago-05;74,999;Aliments i begudes no alcohòliques;;;;
jul-05;74,724;Aliments i begudes no alcohòliques;;;;
jun-05;74,883;Aliments i begudes no alcohòliques;;;;
may-05;74,877;Aliments i begudes no alcohòliques;;;;
abr-05;74,801;Aliments i begudes no alcohòliques;;;;
mar-05;74,316;Aliments i begudes no alcohòliques;;;;
feb-05;74,013;Aliments i begudes no alcohòliques;;;;
ene-05;74,154;Aliments i begudes no alcohòliques;;;;
dic-04;73,643;Aliments i begudes no alcohòliques;;;;
nov-04;73,441;Aliments i begudes no alcohòliques;;;;
oct-04;73,166;Aliments i begudes no alcohòliques;;;;
