Any;Salari brut anual mitjà;Franja d'edat;;;
2021;12.930,13;Menys de 25 anys;;;
2020;12.693,72;Menys de 25 anys;;;
2019;12.270,40;Menys de 25 anys;;;
2018;12.417,98;Menys de 25 anys;;;
2017;11.472,81;Menys de 25 anys;;;
2016;11.046,39;Menys de 25 anys;;;
2015;11.039,53;Menys de 25 anys;;;
2014;11.560,18;Menys de 25 anys;;;
2013;10.506,14;Menys de 25 anys;;;
2012;11.077,39;Menys de 25 anys;;;
2011;11.954,86;Menys de 25 anys;;;
2010;13.154,92;Menys de 25 anys;;;
2009;12.565,99;Menys de 25 anys;;;
2008;12.953,62;Menys de 25 anys;;;
2007;12.441,85;Menys de 25 anys;;;
2006;12.316,36;Menys de 25 anys;;;
2005;12.638,99;Menys de 25 anys;;;
2004;11.881,13;Menys de 25 anys;;;
2021;20.848,08;De 25 a 34 anys;;;
2020;20.090,90;De 25 a 34 anys;;;
2019;19.563,03;De 25 a 34 anys;;;
2018;19.350,14;De 25 a 34 anys;;;
2017;18.505,53;De 25 a 34 anys;;;
2016;17.978,45;De 25 a 34 anys;;;
2015;18.251,51;De 25 a 34 anys;;;
2014;18.680,42;De 25 a 34 anys;;;
2013;17.973,39;De 25 a 34 anys;;;
2012;18.689,58;De 25 a 34 anys;;;
2011;19.269,23;De 25 a 34 anys;;;
2010;19.772,21;De 25 a 34 anys;;;
2009;19.476,35;De 25 a 34 anys;;;
2008;19.206,37;De 25 a 34 anys;;;
2007;17.879,11;De 25 a 34 anys;;;
2006;17.413,22;De 25 a 34 anys;;;
2005;16.646,42;De 25 a 34 anys;;;
2004;16.525,25;De 25 a 34 anys;;;
2021;25.615,45;De 35 a 44 anys;;;
2020;25.039,08;De 35 a 44 anys;;;
2019;24.631,46;De 35 a 44 anys;;;
2018;24.380,69;De 35 a 44 anys;;;
2017;23.690,34;De 35 a 44 anys;;;
2016;23.299,99;De 35 a 44 anys;;;
2015;23.335,61;De 35 a 44 anys;;;
2014;23.503,84;De 35 a 44 anys;;;
2013;23.232,40;De 35 a 44 anys;;;
2012;23.519,76;De 35 a 44 anys;;;
2011;23.830,08;De 35 a 44 anys;;;
2010;23.732,38;De 35 a 44 anys;;;
2009;23.299,64;De 35 a 44 anys;;;
2008;22.977,00;De 35 a 44 anys;;;
2007;21.519,83;De 35 a 44 anys;;;
2006;21.057,59;De 35 a 44 anys;;;
2005;20.268,53;De 35 a 44 anys;;;
2004;19.996,85;De 35 a 44 anys;;;
2021;28.219,62;De 45 a 54 anys;;;
2020;27.499,90;De 45 a 54 anys;;;
2019;26.885,80;De 45 a 54 anys;;;
2018;26.416,99;De 45 a 54 anys;;;
2017;25.949,73;De 45 a 54 anys;;;
2016;25.499,02;De 45 a 54 anys;;;
2015;25.474,81;De 45 a 54 anys;;;
2014;25.420,53;De 45 a 54 anys;;;
2013;25.229,32;De 45 a 54 anys;;;
2012;25.258,59;De 45 a 54 anys;;;
2011;25.834,68;De 45 a 54 anys;;;
2010;25.818,68;De 45 a 54 anys;;;
2009;25.447,11;De 45 a 54 anys;;;
2008;25.016,17;De 45 a 54 anys;;;
2007;23.691,53;De 45 a 54 anys;;;
2006;23.142,83;De 45 a 54 anys;;;
2005;23.403,89;De 45 a 54 anys;;;
2004;23.164,05;De 45 a 54 anys;;;
2021;28.687,17;De 55 anys i més;;;
2020;28.124,29;De 55 anys i més;;;
2019;27.539,73;De 55 anys i més;;;
2018;27.150,93;De 55 anys i més;;;
2017;26.646,32;De 55 anys i més;;;
2016;26.202,60;De 55 anys i més;;;
2015;26.327,00;De 55 anys i més;;;
2014;26.137,13;De 55 anys i més;;;
2013;25.631,60;De 55 anys i més;;;
2012;25.372,97;De 55 anys i més;;;
2011;26.124,09;De 55 anys i més;;;
2010;26.162,43;De 55 anys i més;;;
2009;25.281,30;De 55 anys i més;;;
2008;25.235,33;De 55 anys i més;;;
2007;23.814,81;De 55 anys i més;;;
2006;24.125,85;De 55 anys i més;;;
2005;24.089,06;De 55 anys i més;;;
2004;22.566,80;De 55 anys i més;;;
